date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-08,Serie B,Frosinone,Sampdoria,0-1,3.19,3.48,1.73,2026-03-04T07:07:45Z
2026-03-08,Serie B,Frosinone,Sampdoria,1-0,1.21,4.54,7.35,2026-03-04T07:07:45Z
2026-03-08,Serie B,Frosinone,Sampdoria,0-2,6.48,4.74,1.23,2026-03-04T07:07:45Z
2026-03-08,Serie B,Frosinone,Sampdoria,2-0,1.04,6.55,15.16,2026-03-04T07:07:45Z
2026-03-08,Serie B,Frosinone,Sampdoria,3-0,1.01,7.26,21.82,2026-03-04T07:07:45Z
2026-03-08,Serie B,Mantova,SS Juve Stabia,0-1,5.18,3.88,1.37,2026-03-04T07:07:45Z
2026-03-08,Serie B,Mantova,SS Juve Stabia,1-0,1.41,3.78,4.81,2026-03-04T07:07:45Z
2026-03-08,Serie B,Mantova,SS Juve Stabia,0-2,11.33,5.79,1.09,2026-03-04T07:07:45Z
2026-03-08,Serie B,Mantova,SS Juve Stabia,2-0,1.1,5.63,10.52,2026-03-04T07:07:45Z
2026-03-08,Serie B,Mantova,SS Juve Stabia,3-0,1.01,7.23,17.9,2026-03-04T07:07:45Z
2026-03-08,Serie B,Pescara Calcio,Bari,0-1,3.55,3.53,1.63,2026-03-04T07:07:45Z
2026-03-08,Serie B,Pescara Calcio,Bari,1-0,1.25,4.33,6.7,2026-03-04T07:07:45Z
2026-03-08,Serie B,Pescara Calcio,Bari,0-2,7.41,4.96,1.19,2026-03-04T07:07:45Z
2026-03-08,Serie B,Pescara Calcio,Bari,2-0,1.05,6.37,14.18,2026-03-04T07:07:45Z
2026-03-08,Serie B,Pescara Calcio,Bari,3-0,1.01,7.27,21.11,2026-03-04T07:07:45Z
