date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.83,21.9,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.39,3.97,1.66,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.28,4.83,6.25,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.71,5.34,1.23,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.07,7.12,13.12,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.82,21.25,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.43,3.98,1.65,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.28,4.8,6.13,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.79,5.37,1.22,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.07,7.07,12.86,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.81,20.96,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,1.97,3.62,2.73,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,1.98,3.64,2.71,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,2.05,3.61,2.59,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,2.07,3.59,2.58,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,2.11,3.59,2.52,2026-03-04T13:56:01Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.4,4.05,1.64,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.4,4.06,1.64,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.59,4.11,1.59,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.64,4.11,1.58,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.74,4.15,1.56,2026-03-04T13:56:01Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,6.48,5.52,1.23,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,6.48,5.54,1.23,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,6.9,5.67,1.21,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,7.04,5.71,1.2,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,7.25,5.79,1.19,2026-03-04T13:56:01Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.08,6.48,14.02,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.08,6.49,13.88,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.09,6.29,13.14,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.09,6.32,13.15,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.1,6.2,12.64,2026-03-04T13:56:01Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.29,23.57,2026-03-04T13:56:01Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.3,24.18,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.32,24.08,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.36,24.82,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.36,25.11,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,2.06,3.59,2.58,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.09,6.3,13.2,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.62,4.11,1.59,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.3,24.22,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,7,5.69,1.2,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,0-1,2.01,3.6,2.66,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,1-0,1.09,6.41,13.78,2026-03-04T17:50:44Z
