date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-28,2025-03-29,handball,denmark,male,totals,Ringsted,Bjerringbro/Silkeborg,under,1.88,0.56675,0.06548999999999988,NA,450,61.5,TRUE,396,gsheets
2025-03-28,2025-03-30,handball,denmark,male,totals,Fredericia,Mors,over,1.88,0.57825,0.08711000000000002,NA,600,58.5,TRUE,528,gsheets
2025-03-28,2025-03-30,handball,denmark,male,totals,Nordsjaelland,Skanderborg AGF,over,1.88,0.60175,0.1312899999999999,NA,900,57.5,TRUE,792,gsheets
2025-04-04,2025-04-04,handball,denmark,male,handicap,Holstebro,Nordsjaelland,away,1.88,0.5755,0.08194000000000001,NA,555,-3.5,FALSE,-555,gsheets
2025-04-04,2025-04-04,handball,denmark,male,totals,Holstebro,Nordsjaelland,over,1.85,0.5995,0.10907500000000014,NA,1530,61.5,FALSE,-1530,gsheets
2025-04-04,2025-04-05,handball,denmark,female,handicap,Aarhus Handbold,Odense,home,1.93,0.61375,0.1845375,NA,1185,11.5,TRUE,1102,gsheets
2025-04-04,2025-04-05,handball,denmark,female,handicap,EH Aalborg,Sonderjyske,away,1.88,0.55925,0.05138999999999999,NA,345,1.5,FALSE,-345,gsheets
2025-04-04,2025-04-05,handball,denmark,female,handicap,Ikast Handbold,Esbjerg,home,1.75,0.756,0.32299999999999995,NA,2580,5.5,TRUE,1935,gsheets
2025-04-04,2025-04-05,handball,denmark,female,outcome,EH Aalborg,Sonderjyske,away,1.6,0.662,0.05920000000000008,NA,1170,NA,FALSE,-1170,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,Aarhus Handbold,Odense,under,1.78,0.825,0.4684999999999999,NA,3600,60.5,FALSE,-3600,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,Bjerringbro,Skanderborg,over,1.88,0.60475,0.13693,NA,930,55.5,TRUE,818,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,Copenhagen,Ringkobing,under,1.85,0.57225,0.05866250000000012,NA,405,63.5,FALSE,-405,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,EH Aalborg,Sonderjyske,under,1.88,0.565,0.06219999999999986,NA,420,60.5,FALSE,-420,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,Ikast Handbold,Esbjerg,over,1.85,0.66075,0.22238749999999996,NA,1575,58.5,FALSE,-1575,gsheets
