date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,currency_original,booker,source
2025-02-14,2025-02-15,handball,iceland,female,handicap,Fram,Selfoss,home,1.9,0.5865,0.11434999999999995,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Fram,Selfoss,over,1.9,0.59925,0.1385749999999999,NA,150,NA,TRUE,135,EUR,EpicBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Fram,Selfoss,under,1.9,0.6545,0.24354999999999993,NA,150,NA,FALSE,-150,EUR,CoolBet,gsheets
2025-02-13,2025-02-15,handball,iceland,male,outcome,ÍR,Valur,home,11,0.1,0.09999999999999998,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-13,2025-02-15,handball,iceland,male,totals,ÍR,Valur,over,1.9,0.60225,0.14427499999999982,NA,450,63.5,TRUE,405,EUR,CoolBet,gsheets
2025-02-13,2025-02-15,handball,iceland,male,handicap,ÍR,Valur,home,1.9,0.6225,0.18275000000000008,NA,300,7.5,FALSE,-300,EUR,EpicBet,gsheets
2025-02-13,2025-02-15,handball,iceland,male,outcome,ÍR,Valur,home,15,0.1,0.5000000000000001,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Stjarnan,ÍR,under,1.9,0.558,0.06020000000000003,NA,150,NA,TRUE,135,EUR,CoolBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,handicap,Stjarnan,ÍR,away,1.85,0.6385,0.18122499999999997,NA,150,NA,TRUE,128,EUR,EpicBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,handicap,Stjarnan,ÍR,away,1.75,0.70575,0.23506249999999995,NA,150,NA,TRUE,112,EUR,CoolBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,outcome,Stjarnan,ÍR,away,2.4,0.6025,0.44600000000000006,NA,300,NA,TRUE,420,EUR,EpicBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,outcome,Stjarnan,ÍR,away,2.5,0.6025,0.5062500000000001,NA,150,NA,TRUE,225,EUR,CoolBet,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,handicap,Keflavík,Haukar,away,1.87,0.64875,0.21316250000000014,NA,150,-4,TRUE,131,EUR,CoolBet,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Keflavík,Haukar,away,2.35,0.52325,0.22963750000000005,NA,150,NA,TRUE,202,EUR,CoolBet,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Tindastóll,Hamar/Þór,away,4,0.3205,0.28200000000000003,NA,150,NA,TRUE,450,EUR,EpicBet,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Valur,Njarðvík,under,1.88,0.7495,0.40906,NA,300,152.5,FALSE,-300,EUR,CoolBet,gsheets
2025-02-16,2025-02-16,football,england,male,outcome,Tottenham,Man United,home,2.35,0.5575,0.310125,NA,150,NA,TRUE,202,EUR,EpicBet,gsheets
2025-02-16,2025-02-16,football,england,male,totals,Tottenham,Man United,under,1.9,0.61075,0.16042499999999993,NA,150,3.25,TRUE,135,EUR,EpicBet,gsheets
2025-02-15,2025-02-16,handball,iceland,male,outcome,ÍBV,Grótta,home,1.33,0.77675,0.03307750000000015,NA,300,NA,TRUE,99,EUR,EpicBet,gsheets
2025-02-15,2025-02-16,handball,iceland,male,totals,ÍBV,Grótta,under,1.88,0.603,0.13363999999999987,NA,300,61.5,TRUE,264,EUR,EpicBet,gsheets
2025-02-18,2025-02-18,handball,iceland,female,outcome,Valur,Selfoss,home,1.14,0.96925,0.10494499999999984,NA,1500,NA,TRUE,210,EUR,EpicBet,gsheets
2025-02-18,2025-02-18,handball,iceland,female,handicap,Valur,Selfoss,home,1.9,0.628,0.19319999999999993,NA,450,-7.5,TRUE,405,EUR,EpicBet,gsheets
2025-02-18,2025-02-19,handball,iceland,female,outcome,Haukar,Stjarnan,home,1.18,0.91275,0.07704499999999989,NA,750,NA,TRUE,135,EUR,EpicBet,gsheets
2025-02-18,2025-02-19,handball,iceland,female,totals,Haukar,Stjarnan,over,1.9,0.678,0.2882,NA,450,49.5,TRUE,405,EUR,EpicBet,gsheets
2025-02-18,2025-02-20,handball,iceland,male,outcome,FH,Grótta,home,1.22,0.87025,0.06170499999999993,NA,450,NA,TRUE,99,EUR,CoolBet,gsheets
2025-02-18,2025-02-20,handball,iceland,male,totals,FH,Grótta,under,1.9,0.61775,0.17372500000000002,NA,150,58.5,TRUE,135,EUR,CoolBet,gsheets
2025-02-18,2025-02-20,handball,iceland,male,totals,Fram,ÍR,over,1.9,0.76175,0.447325,NA,450,63.5,TRUE,405,EUR,CoolBet,gsheets
2025-02-18,2025-02-20,handball,iceland,male,outcome,Valur,Fjölnir,home,1.05,0.96825,0.0166625000000001,NA,600,NA,TRUE,30,EUR,CoolBet,gsheets
2025-02-16,2025-02-21,football,england,male,totals,Leicester,Brentford,under,1.97,0.62975,0.24060750000000009,NA,150,3,FALSE,-150,EUR,EpicBet,gsheets
2025-02-17,2025-02-21,football,england,male,totals,Leicester,Brentford,under,1.96,0.66525,0.30389,NA,300,3,FALSE,-300,EUR,CoolBet,gsheets
2025-02-17,2025-02-21,football,england,male,handicap,Leicester,Brentford,home,2.09,0.568,0.18711999999999984,NA,150,0.25,FALSE,-150,EUR,EpicBet,gsheets
2025-02-18,2025-02-21,handball,iceland,male,outcome,HK,KA,home,1.8,0.61825,0.11284999999999995,NA,150,NA,TRUE,120,EUR,CoolBet,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Arsenal,West Ham,over,1.87,0.67375,0.2599125,NA,150,2.75,FALSE,-150,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Aston Villa,Chelsea,under,2.02,0.58775,0.18725499999999995,NA,150,3,FALSE,-150,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Bournemouth,Wolves,under,1.89,0.6635,0.2540149999999999,NA,150,3,TRUE,133,EUR,CoolBet,gsheets
2025-02-16,2025-02-22,football,england,male,handicap,Everton,Man United,home,1.7,0.70175,0.19297499999999995,NA,150,0.25,TRUE,105,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,handicap,Everton,Man United,home,1.68,0.7015,0.17851999999999996,NA,300,0.25,TRUE,204,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,outcome,Fulham,Crystal Palace,away,3.67,0.34925,0.28174750000000004,NA,150,NA,TRUE,400,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,handicap,Fulham,Crystal Palace,away,2.13,0.61375,0.30728749999999994,NA,300,-0.25,TRUE,339,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,handicap,Ipswich,Tottenham,away,1.7,0.774,0.31579999999999997,NA,450,0.25,TRUE,315,EUR,EpicBet,gsheets
2025-02-17,2025-02-22,football,england,male,outcome,Ipswich,Tottenham,away,2.02,0.774,0.5634800000000001,NA,750,NA,TRUE,765,EUR,CoolBet,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Southampton,Brighton,under,1.93,0.62225,0.2009424999999999,NA,150,3,FALSE,-150,EUR,EpicBet,gsheets
2025-02-22,2025-02-22,handball,iceland,female,outcome,Grótta,Fram,away,1.16,0.9215,0.06893999999999992,NA,1050,NA,TRUE,168,EUR,EpicBet,gsheets
2025-02-22,2025-02-22,handball,iceland,female,totals,Grótta,Fram,under,1.9,0.6375,0.21124999999999983,NA,750,51.5,FALSE,-750,EUR,CoolBet,gsheets
2025-02-17,2025-02-23,football,england,male,outcome,Newcastle,Nott'm Forest,home,1.82,0.656,0.1939200000000001,NA,300,NA,TRUE,246,EUR,EpicBet,gsheets
2025-02-22,2025-02-23,football,spain,male,totals,Getafe,Betis,under,1.84,0.66275,0.21946,NA,150,2,FALSE,-150,EUR,EpicBet,gsheets
2025-02-22,2025-02-23,football,spain,male,totals,Las Palmas,Barcelona,under,2.79,0.6375,0.7786249999999999,NA,150,3,TRUE,268,EUR,EpicBet,gsheets
2025-02-23,2025-02-25,football,england,male,totals,Brighton,Bournemouth,under,1.89,NA,NA,NA,750,3,NA,NA,EUR,EpicBet,gsheets
2025-02-23,2025-02-25,football,england,male,totals,Brighton,Southampton,under,2.07,NA,NA,NA,450,3.5,FALSE,-450,EUR,EpicBet,gsheets
2025-02-23,2025-02-25,football,england,male,totals,Crystal Palace,Aston Villa,under,1.96,NA,NA,NA,300,2.5,FALSE,-300,EUR,EpicBet,gsheets
2025-02-23,2025-02-26,football,england,male,outcome,Brentford,Everton,home,2.09,NA,NA,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-23,2025-02-26,football,england,male,totals,Brentford,Everton,under,2.93,NA,NA,NA,750,2,NA,NA,EUR,EpicBet,gsheets
2025-02-26,2025-02-26,football,england,male,outcome,Brentford,Everton,home,1.3,0.802,0.04260000000000008,NA,300,NA,FALSE,-300,EUR,EpicBet,gsheets
2025-02-26,2025-02-26,football,england,male,outcome,Liverpool,Newcastle,home,1.18,0.878,0.03603999999999996,NA,600,NA,TRUE,108,EUR,EpicBet,gsheets
2025-02-26,2025-02-26,football,england,male,outcome,Man United,Ipswich,home,1.55,0.898,0.3919000000000001,NA,1500,NA,TRUE,825,EUR,EpicBet,gsheets
2025-02-23,2025-02-26,football,england,male,totals,Tottenham,Man City,under,2,NA,NA,NA,750,3.5,TRUE,750,EUR,EpicBet,gsheets
2025-02-23,2025-02-26,football,england,male,totals,Tottenham,Man City,under,1.96,0.595,0.1661999999999999,NA,150,3.5,TRUE,144,EUR,EpicBet,gsheets
2025-02-26,2025-02-27,football,england,male,totals,West Ham,Leicester,over,1.94,0.658,0.27652,NA,150,2.75,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-02-28,football,france,male,handicap,Monaco,Reims,away,2.01,0.644,0.2944399999999999,NA,150,-1.25,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-02-28,football,france,male,totals,Monaco,Reims,under,1.82,0.748,0.36136,NA,150,3.25,TRUE,123,EUR,EpicBet,gsheets
2025-02-26,2025-02-28,football,germany,male,totals,Stuttgart,Bayern Munich,under,1.92,0.632,0.21343999999999996,NA,150,3.25,FALSE,-150,EUR,EpicBet,gsheets
2025-02-26,2025-02-28,football,italy,male,outcome,Fiorentina,Lecce,home,1.76,0.691,0.2161599999999999,NA,750,NA,TRUE,570,EUR,EpicBet,gsheets
NA,2025-02-28,football,italy,male,handicap,Fiorentina,Lecce,home,2,0.691,0.3819999999999999,NA,150,-0.75,TRUE,150,EUR,EpicBet,gsheets
NA,2025-02-28,football,italy,male,handicap,Fiorentina,Lecce,home,3.2,0.453,0.4496000000000002,NA,150,-1,FALSE,-150,EUR,CoolBet,gsheets
2025-02-27,2025-02-28,football,netherlands,male,handicap,Waalwijk,Sittard,away,1.37,0.516,-0.07607999999999995,NA,150,-1,TRUE,56,EUR,EpicBet,gsheets
2025-02-26,2025-02-28,football,spain,male,totals,Valladolid,Las Palmas,under,1.89,0.636,0.20204,NA,150,2.25,TRUE,133,EUR,EpicBet,gsheets
NA,2025-02-28,football,spain,male,handicap,Valladolid,Las Palmas,home,1.83,0.683,0.24989000000000017,NA,150,0.25,TRUE,125,EUR,EpicBet,gsheets
NA,2025-03-01,football,belgium,male,handicap,Cercle Brugge,Antwerp,away,1.57,0.716,0.12412000000000001,NA,150,-1,TRUE,86,EUR,CoolBet,gsheets
NA,2025-03-01,football,france,male,handicap,St Etienne,Nice,away,1.94,0.613,0.18921999999999994,NA,150,0.75,TRUE,141,EUR,EpicBet,gsheets
NA,2025-03-01,football,germany,male,handicap,Cercle Brugge,Antwerp,away,1.55,0.716,0.10980000000000001,NA,150,-0.5,TRUE,82,EUR,EpicBet,gsheets
NA,2025-03-01,football,germany,male,handicap,St Pauli,Dortmund,home,1.92,0.616,0.18272,NA,150,0.5,FALSE,-150,EUR,EpicBet,gsheets
2025-02-27,2025-03-01,football,germany,male,handicap,St Pauli,Dortmund,home,1.95,0.616,0.20119999999999993,NA,300,1,FALSE,-300,EUR,CoolBet,gsheets
NA,2025-03-01,football,netherlands,male,handicap,Utrecht,NAC Breda,home,1.87,0.381,-0.029529999999999945,NA,150,-1,NA,NA,EUR,EpicBet,gsheets
NA,2025-03-01,football,spain,male,handicap,Atalanta,Venezia,away,1.98,0.587,0.26825999999999994,NA,150,1.75,TRUE,147,EUR,EpicBet,gsheets
2025-02-26,2025-03-01,football,spain,male,outcome,Ath Madrid,Ath Bilbao,home,2.08,0.539,0.12112000000000012,NA,150,NA,TRUE,162,EUR,EpicBet,gsheets
2025-02-26,2025-03-01,football,spain,male,totals,Ath Madrid,Ath Bilbao,under,1.94,0.6,0.16399999999999992,NA,150,2.25,TRUE,141,EUR,EpicBet,gsheets
NA,2025-03-01,football,spain,male,handicap,Betis,Real Madrid,away,2,0.597,0.19399999999999995,NA,150,0.75,FALSE,-150,EUR,EpicBet,gsheets
2025-02-26,2025-03-01,football,spain,male,outcome,Girona,Celta,home,2.16,0.539,0.16424000000000016,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-26,2025-03-01,football,spain,male,totals,Girona,Celta,over,2.01,0.636,0.27835999999999983,NA,150,2.75,TRUE,151,EUR,EpicBet,gsheets
NA,2025-03-02,football,germany,male,handicap,Union Berlin,Holstein Kiel,away,1.98,0.58,0.27139999999999986,NA,150,-0.75,TRUE,147,EUR,EpicBet,gsheets
2025-02-26,2025-03-02,football,italy,male,totals,Monza,Torino,under,1.82,0.603,0.09745999999999999,NA,150,2.25,TRUE,123,EUR,EpicBet,gsheets
NA,2025-03-02,football,netherlands,male,outcome,Heerenveen,AZ Alkmaar,away,2.05,0.631,0.29354999999999987,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-02,football,netherlands,male,handicap,Heerenveen,AZ Alkmaar,away,3.05,0.38,0.4099999999999999,NA,150,1,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-02,football,spain,male,handicap,Leganes,Getafe,home,1.76,0.692,0.2179199999999999,NA,150,0.25,TRUE,114,EUR,EpicBet,gsheets
2025-02-26,2025-03-03,football,spain,male,totals,Villarreal,Espanol,over,1.94,0.656,0.27264,NA,150,2.75,NA,NA,EUR,EpicBet,gsheets
2025-02-26,2025-03-03,football,spain,male,btts,Villarreal,Espanol,yes,1.89,0.615,0.16234999999999988,NA,150,NA,NA,NA,EUR,EpicBet,gsheets
NA,2025-03-04,basketball,iceland,female,handicap,Sjarnan,Hamar/Þór,away,1.87,0.5705,0.06683500000000009,NA,75,-5,TRUE,65,EUR,CoolBet,gsheets
2025-03-04,2025-03-04,basketball,iceland,female,totals,Stjarnan,Hamar/Þór,over,1.87,0.6795,0.27066500000000004,NA,240,161.5,FALSE,-240,EUR,CoolBet,gsheets
NA,2025-03-04,basketball,iceland,female,outcome,Stjarnan,Hamar/Þór,away,2.8,0.43025,0.2047,NA,75,NA,TRUE,135,EUR,CoolBet,gsheets
NA,2025-03-04,basketball,iceland,female,handicap,Stjarnan,Hamar/Þór,away,1.87,0.5705,0.06683500000000009,NA,75,-5,TRUE,65,EUR,EpicBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,Grótta,Fjölnir,home,1.36,0.7995,0.08732000000000006,NA,525,NA,FALSE,-525,EUR,CoolBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,Grótta,Fjölnir,under,1.9,0.65,0.235,NA,450,58.5,FALSE,-450,EUR,CoolBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,Haukar,FH,away,2.4,0.439,0.05359999999999998,NA,135,NA,TRUE,189,EUR,EpicBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,Haukar,FH,under,1.85,0.73125,0.3528125,NA,750,60.5,TRUE,638,EUR,CoolBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,ÍR,HK,away,1.6,0.71475,0.14360000000000006,NA,525,NA,FALSE,-525,EUR,EpicBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,ÍR,HK,over,1.9,0.6185,0.17515000000000003,NA,390,62.5,FALSE,-390,EUR,CoolBet,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,KA,ÍBV,over,1.9,0.6285,0.19414999999999982,NA,390,59.5,TRUE,351,EUR,EpicBet,gsheets
NA,2025-03-05,basketball,iceland,female,totals,Aþena,Tindastóll,under,1.87,0.602,0.12574000000000007,NA,75,157.5,FALSE,-75,EUR,EpicBet,gsheets
NA,2025-03-05,basketball,iceland,female,outcome,Aþena,Tindastóll,home,2.6,0.41975,0.09135000000000015,NA,75,NA,TRUE,120,EUR,EpicBet,gsheets
NA,2025-03-05,basketball,iceland,female,totals,Valur,Haukar,under,1.87,0.7035,0.3155450000000001,NA,315,157.5,FALSE,-315,EUR,EpicBet,gsheets
NA,2025-03-05,basketball,iceland,female,outcome,Valur,Haukar,away,1.42,0.761,0.08061999999999997,NA,165,NA,TRUE,69,EUR,EpicBet,gsheets
NA,2025-03-05,basketball,iceland,female,handicap,Valur,Haukar,away,1.87,0.614,0.1481800000000001,NA,165,5.5,TRUE,144,EUR,EpicBet,gsheets
2025-03-04,2025-03-05,handball,iceland,male,totals,Afturelding,Stjarnan,over,1.9,0.743,0.41169999999999995,NA,900,59.5,TRUE,810,EUR,EpicBet,gsheets
2025-03-04,2025-03-05,handball,iceland,male,totals,Valur,Fram,over,1.9,0.83675,0.5898249999999999,NA,900,61.5,TRUE,810,EUR,CoolBet,gsheets
NA,2025-03-06,basketball,iceland,male,totals,Haukar,Valur,under,1.88,0.57825,0.08711000000000002,NA,270,180.5,TRUE,238,EUR,CoolBet,gsheets
NA,2025-03-06,basketball,iceland,male,outcome,Höttur,Þór Þ.,away,1.6,0.65175,0.042800000000000116,NA,135,NA,FALSE,-135,EUR,CoolBet,gsheets
NA,2025-03-06,basketball,iceland,male,totals,ÍR,KR,over,1.87,0.61675,0.15332250000000014,NA,270,181.5,TRUE,235,EUR,EpicBet,gsheets
NA,2025-03-06,basketball,iceland,male,handicap,Tindastóll,Keflavík,home,1.87,0.6255,0.16968499999999997,NA,135,-6,TRUE,117,EUR,EpicBet,gsheets
NA,2025-03-06,basketball,iceland,male,totals,Tindastóll,Keflavík,over,1.87,0.57,0.06589999999999996,NA,135,187.5,TRUE,117,EUR,CoolBet,gsheets
NA,2025-03-06,basketball,iceland,male,outcome,Tindastóll,Keflavík,home,1.4,0.7855,0.0996999999999999,NA,270,NA,TRUE,108,EUR,CoolBet,gsheets
NA,2025-03-07,basketball,iceland,male,totals,Stjarnan,Álftanes,under,1.88,0.701,0.31787999999999983,NA,555,183.5,TRUE,488,EUR,CoolBet,gsheets
2025-03-03,2025-03-07,football,belgium,male,btts,St Truiden,Beerschot,yes,1.7,0.628,0.0676,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-07,football,belgium,male,totals,St Truiden,Beerschot,over,2.08,0.434,0.10771999999999993,NA,150,3,FALSE,-150,EUR,CoolBet,gsheets
NA,2025-03-07,football,germany,male,handicap,M'gladbach,Mainz,home,2.08,0.553,0.15024000000000015,NA,300,-0.25,FALSE,-300,EUR,EpicBet,gsheets
NA,2025-03-07,football,germany,male,outcome,M'gladbach,Mainz,home,2.55,0.553,0.41015,NA,600,NA,FALSE,-600,EUR,CoolBet,gsheets
NA,2025-03-07,football,germany,male,handicap,M'gladbach,Mainz,home,5.25,0.318,0.6695,NA,150,-1,FALSE,-150,EUR,CoolBet,gsheets
NA,2025-03-07,football,germany,male,totals,St Truiden,Beerschot,under,1.76,NA,-1,NA,150,3,FALSE,-150,EUR,CoolBet,gsheets
NA,2025-03-08,football,england,male,totals,Brentford,Aston Villa,under,1.85,0.774,0.43190000000000006,NA,150,3.25,TRUE,128,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Brighton,Fulham,away,1.86,0.6,0.11599999999999999,NA,300,-0.5,FALSE,-300,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,outcome,Brighton,Fulham,away,3.7,0.349,0.2913,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Crystal Palace,Ipswich,away,1.85,0.689,0.27464999999999995,NA,150,-1.25,TRUE,128,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Crystal Palace,Ipswich,away,1.86,0.682,0.2685200000000002,NA,600,-1.25,TRUE,516,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,totals,Crystal Palace,Ipswich,under,1.91,0.519,0.09928999999999999,NA,150,2.75,TRUE,136,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,outcome,Crystal Palace,Ipswich,away,7.05,0.19,0.3394999999999999,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,btts,Liverpool,Southampton,no,1.93,0.64,0.23519999999999996,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Liverpool,Southampton,home,1.9,0.554,0.052600000000000036,NA,150,-2.5,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Nott'm Forest,Man City,away,1.97,0.594,0.1701799999999999,NA,300,0.5,FALSE,-300,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,outcome,Nott'm Forest,Man City,away,1.97,0.594,0.1701799999999999,NA,450,NA,FALSE,-450,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,btts,Nott'm Forest,Man City,no,2.47,0.471,1.16337,NA,150,NA,TRUE,221,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Wolves,Everton,away,1.88,0.598,0.1242399999999999,NA,150,-0.25,TRUE,132,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,totals,Wolves,Everton,under,1.97,0.698,0.37505999999999984,NA,150,2.25,TRUE,146,EUR,EpicBet,gsheets
NA,2025-03-08,football,england,male,handicap,Wolves,Everton,away,1.78,0.596,0.06087999999999999,NA,150,-0.25,TRUE,117,EUR,EpicBet,gsheets
NA,2025-03-08,football,france,male,handicap,Rennes,Paris SG,home,1.89,0.458,0.09561999999999993,NA,150,1,FALSE,-150,EUR,EpicBet,gsheets
NA,2025-03-08,football,germany,male,handicap,Bayern Munich,Bochum,home,2.05,0.586,0.2012999999999998,NA,450,-2.5,FALSE,-450,EUR,EpicBet,gsheets
NA,2025-03-08,football,germany,male,handicap,Bayern Munich,Bochum,home,2.02,0.586,0.18372,NA,1050,-2,FALSE,-1050,EUR,CoolBet,gsheets
NA,2025-03-08,football,germany,male,totals,Bayern Munich,Bochum,over,1.82,0.61,0.11019999999999996,NA,150,3.5,TRUE,123,EUR,CoolBet,gsheets
NA,2025-03-08,football,germany,male,outcome,Leverkusen,Werder Bremen,away,14,0.16,1.2400000000000002,NA,150,NA,TRUE,1950,EUR,CoolBet,gsheets
NA,2025-03-08,football,germany,male,totals,Leverkusen,Werder Bremen,over,1.85,0.524,0.1654000000000001,NA,150,3,FALSE,-150,EUR,CoolBet,gsheets
NA,2025-03-08,football,spain,male,handicap,Celta,Leganes,away,1.8,0.491,0.12880000000000003,NA,300,-1,NA,NA,EUR,EpicBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,outcome,Fjölnir,Haukar,away,1.18,0.9335,0.10152999999999993,NA,630,NA,TRUE,113,EUR,CoolBet,gsheets
2025-03-07,2025-03-08,handball,iceland,male,outcome,Fjölnir,Haukar,away,1.2,0.9335,0.12019999999999995,NA,720,NA,TRUE,144,EUR,EpicBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,totals,Fjölnir,Haukar,under,1.85,0.60875,0.12618750000000012,NA,165,60.5,FALSE,-165,EUR,CoolBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,handicap,Fjölnir,Haukar,away,1.85,0.714,0.32089999999999996,NA,480,4.5,TRUE,408,EUR,CoolBet,gsheets
2025-03-07,2025-03-08,handball,iceland,male,totals,Fjölnir,Haukar,under,1.9,0.71775,0.36372499999999997,NA,480,62.5,TRUE,432,EUR,EpicBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,outcome,HK,Fram,away,1.55,0.68475,0.061362499999999986,NA,165,NA,TRUE,91,EUR,CoolBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,totals,HK,Fram,under,1.9,0.6555,0.24544999999999983,NA,315,61.5,TRUE,283,EUR,CoolBet,gsheets
2025-03-07,2025-03-08,handball,iceland,male,outcome,HK,Fram,home,5.5,0.24675,0.3571249999999999,NA,75,NA,FALSE,-75,EUR,EpicBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,outcome,ÍBV,ÍR,home,1.16,0.88575,0.027469999999999967,NA,240,NA,FALSE,-240,EUR,CoolBet,gsheets
2025-03-07,2025-03-08,handball,iceland,male,outcome,ÍBV,ÍR,home,1.25,0.88575,0.10718750000000005,NA,480,NA,FALSE,-480,EUR,EpicBet,gsheets
2025-03-06,2025-03-08,handball,iceland,male,totals,ÍBV,ÍR,under,1.9,0.66975,0.2725249999999999,NA,405,63.5,FALSE,-405,EUR,CoolBet,gsheets
2025-03-07,2025-03-08,handball,iceland,male,totals,ÍBV,ÍR,under,1.9,0.72225,0.3722749999999998,NA,480,64.5,FALSE,-480,EUR,EpicBet,gsheets
