date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.33,4.97,5.01,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,13.43,7.54,1.06,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.11,6.97,9.51,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,6.77,5.25,1.23,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,1.87,3.97,2.76,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.33,4.96,5.06,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,13.59,7.53,1.06,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.11,6.99,9.66,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,7.19,5.22,1.22,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,1.88,3.86,2.78,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.33,4.89,5.2,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,14.66,7.57,1.05,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.1,6.98,10.07,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,7.45,5.29,1.21,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,1.92,3.84,2.71,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.34,4.82,5.04,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,15.14,7.66,1.05,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.11,6.88,9.75,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,6.51,5.03,1.25,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,1.78,3.94,3.01,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.28,5.09,5.7,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,13.34,7.32,1.07,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.08,7.29,11.03,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,8.04,5.45,1.19,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,2,3.82,2.58,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2-0,1.38,4.71,4.74,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-2,16.18,7.83,1.04,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3-0,1.12,6.68,9.15,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,1-0,1.16,6.3,7.54,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-1,2.08,4.37,2.28,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KR,Þór Ak.,2-0,1.04,8.41,13.55,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-2,3.28,4.77,1.57,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KR,Þór Ak.,3-0,1.01,9.46,19.34,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,KR,Þór Ak.,1-0,1.19,5.84,7.07,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-1,2.32,4.2,2.08,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KR,Þór Ak.,2-0,1.05,8.03,13.28,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-2,3.87,4.82,1.46,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KR,Þór Ak.,3-0,1.01,9.31,19.71,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KR,Þór Ak.,1-0,1.18,5.87,7.49,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-1,2.29,4.13,2.12,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,2-0,1.05,8.08,14.09,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,0-2,3.84,4.74,1.47,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,3-0,1.01,9.24,20.66,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,1-0,1.34,4.79,5.07,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Stjarnan,FH,0-1,3.39,4.22,1.62,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Stjarnan,FH,2-0,1.11,6.76,10.08,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Stjarnan,FH,0-2,6.42,5.55,1.23,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Stjarnan,FH,3-0,1.02,8.82,17.21,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Stjarnan,FH,1-0,1.37,4.67,4.88,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,0-1,3.56,4.22,1.58,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,2-0,1.12,6.6,9.78,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,0-2,6.87,5.66,1.21,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,3-0,1.02,8.75,17,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Valur,ÍBV,1-0,1.29,4.98,5.79,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-1,3.15,4.11,1.7,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Valur,ÍBV,2-0,1.08,7.12,11.65,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-2,5.92,5.32,1.26,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Valur,ÍBV,3-0,1.01,8.94,19.07,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Valur,ÍBV,1-0,1.29,4.96,5.83,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-1,3.09,4.07,1.72,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Valur,ÍBV,2-0,1.08,7.12,11.75,2026-04-16T09:36:56Z
